LOG_TIME,CONTENT_MATCHED,HTTP_RESPONSE_CODE,RESPONSE_MESSAGE,RESPONSE_TIME,URL
"03/11/2022    00:25:30  EET" ,"Content  matched" ,200 ,OK ,0.4370303 ,"https://www.f-secure.com/en"
"03/11/2022    00:25:31  EET" ,"Content  matched" ,200 ,OK ,0.8399539 ,"https://github.com/asraful"
"03/11/2022    00:25:31  EET" ,"Unknown  Host" ,400 ,www.foobarxyz.com ,-1.0 ,"http://www.foobarxyz.com/"
"03/11/2022    00:25:31  EET" ,"Content  not  matched" ,403 ,Forbidden ,0.6347657 ,"http://www.foobar.com/login"
"03/11/2022    00:25:40  EET" ,"Content  matched" ,200 ,OK ,0.2163006 ,"https://www.f-secure.com/en"
"03/11/2022    00:25:41  EET" ,"Content  matched" ,200 ,OK ,1.0015459 ,"https://github.com/asraful"
"03/11/2022    00:25:41  EET" ,"Unknown  Host" ,400 ,www.foobarxyz.com ,-1.0 ,"http://www.foobarxyz.com/"
"03/11/2022    00:25:41  EET" ,"Content  not  matched" ,403 ,Forbidden ,0.3021104 ,"http://www.foobar.com/login"
"03/11/2022    00:25:50  EET" ,"Content  matched" ,200 ,OK ,0.2358935 ,"https://www.f-secure.com/en"
"03/11/2022    00:25:50  EET" ,"Content  matched" ,200 ,OK ,0.4849105 ,"https://github.com/asraful"
"03/11/2022    00:25:50  EET" ,"Unknown  Host" ,400 ,www.foobarxyz.com ,-1.0 ,"http://www.foobarxyz.com/"
"03/11/2022    00:25:50  EET" ,"Content  not  matched" ,403 ,Forbidden ,0.3049413 ,"http://www.foobar.com/login"
"03/11/2022    00:26:00  EET" ,"Content  matched" ,200 ,OK ,0.2267459 ,"https://www.f-secure.com/en"
"03/11/2022    00:26:00  EET" ,"Content  matched" ,200 ,OK ,0.3652949 ,"https://github.com/asraful"
"03/11/2022    00:26:00  EET" ,"Unknown  Host" ,400 ,www.foobarxyz.com ,-1.0 ,"http://www.foobarxyz.com/"
"03/11/2022    00:26:00  EET" ,"Content  not  matched" ,403 ,Forbidden ,0.295761 ,"http://www.foobar.com/login"
"03/11/2022    00:26:10  EET" ,"Content  matched" ,200 ,OK ,0.2180467 ,"https://www.f-secure.com/en"
"03/11/2022    00:26:10  EET" ,"Content  matched" ,200 ,OK ,0.3379338 ,"https://github.com/asraful"
"03/11/2022    00:26:10  EET" ,"Unknown  Host" ,400 ,www.foobarxyz.com ,-1.0 ,"http://www.foobarxyz.com/"
"03/11/2022    00:26:10  EET" ,"Content  not  matched" ,403 ,Forbidden ,0.3087231 ,"http://www.foobar.com/login"
